date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-08-02,10173.341,10250.545,10250.545,10157.853,128236280,65.068,0.64,10313.522,10539.431,10634.608,201138843.2,201554493.6,224213694
2016-08-03,10229.473,10295.756,10281.247,10205.984,150021872,30.702,0.3,10288.602,10491.57,10616.588,167330840,196451031.2,219223250.8
2016-08-04,10272.715,10376.213,10366.498,10235.697,166288112,85.251,0.83,10282.64,10449.499,10603.884,156881006.4,191488048.8,213488557.2
2016-08-05,10368.797,10420.425,10342.279,10333.316,159042496,-24.219,-0.23,10285.209,10412.82,10590.408,155060104,186394410.4,210098858.8
2016-08-08,10314.996,10468.884,10468.884,10259.304,168014416,126.605,1.22,10341.891,10387.873,10584.111,154320635.2,183849212,205366673.2
2016-08-09,10466.038,10564.775,10564.775,10457.823,184955216,95.891,0.92,10404.737,10359.13,10574.457,165664422.4,183401632.8,200429813.2
2016-08-10,10558.486,10594.771,10511.159,10510.912,187720192,-53.616,-0.51,10450.719,10369.66,10557.338,173204086.4,170267463.2,195549782.8
2016-08-11,10496.435,10526.348,10390.956,10390.956,180178480,-120.203,-1.14,10455.611,10369.125,10534.179,175982160,166431583.2,192803796.4
2016-08-12,10373.049,10528.104,10528.104,10364.466,169956752,137.148,1.32,10492.776,10388.992,10519.423,178165011.2,166612557.6,190048270.8
2016-08-15,10556.4,10862.956,10822.105,10552.951,285306880,294.001,2.79,10563.42,10452.655,10522.428,201623504,177972069.6,193369650
2016-08-16,10845.618,10913.22,10882.951,10845.07,261239936,60.846,0.56,10627.055,10515.896,10527.664,216880448,191272435.2,196413464.4
2016-08-17,10879.988,10936.578,10890.688,10832.776,239624656,7.737,0.07,10702.961,10576.84,10534.205,227261340.8,200232713.6,198341872.4
2016-08-18,10873.65,10946.739,10879.196,10834.011,254258448,-11.492,-0.11,10800.609,10628.11,10538.804,242077334.4,209029747.2,200258898
2016-08-19,10865.382,10911.773,10872.707,10819.797,215165104,-6.489,-0.06,10869.529,10681.153,10546.986,251119004.8,214642008,200518209.2
2016-08-22,10869.062,10894.839,10731.4,10731.201,214013056,-141.307,-1.3,10851.388,10707.404,10547.638,236860240,219241872,201545542
2016-08-23,10720.503,10793.365,10750.293,10680.1,189050800,18.893,0.18,10824.857,10725.956,10542.543,222422412.8,219651430.4,201526531.6
2016-08-24,10751.352,10815.256,10760.439,10732.921,183005008,10.146,0.09,10798.807,10750.884,10560.272,211098483.2,219179912,194723687.6
2016-08-25,10694.336,10699.246,10679.147,10564.363,200663088,-81.292,-0.76,10758.797,10779.703,10574.414,200379411.2,221228372.8,193829978
2016-08-26,10703.315,10785.005,10693.75,10675.597,187552256,14.603,0.14,10723.006,10796.268,10592.63,194856841.6,222987923.2,194800240.4
2016-08-29,10690.949,10757.261,10724.399,10682.261,167850176,30.649,0.29,10721.606,10786.497,10619.576,185624265.6,211242252.8,194607161.2
2016-08-30,10732.773,10787.317,10729.115,10713.751,165372528,4.716,0.04,10717.37,10771.113,10643.505,180888611.2,201655512,196463973.6
2016-08-31,10730.547,10776.317,10757.875,10679.649,173134784,28.76,0.27,10716.857,10757.832,10667.336,178914566.4,195006524.8,197619619.2
2016-09-01,10759.755,10765.507,10669.508,10669.508,179543232,-88.367,-0.82,10714.929,10736.863,10682.486,174690595.2,187535003.2,198282375.2
2016-09-02,10666.098,10727.88,10640.422,10592.083,164618272,-29.086,-0.27,10704.264,10713.635,10697.394,170103798.4,182480320,198561164
2016-09-05,10682.714,10756.431,10695.452,10674.957,163252496,55.03,0.52,10698.474,10710.04,10708.722,169184262.4,177404264,198323068
2016-09-06,10714.544,10861.498,10861.498,10623.99,216823936,166.046,1.55,10724.951,10721.161,10723.558,179474544,180181577.6,199916504
2016-09-07,10860.118,10903.637,10838.715,10827.252,232756176,-22.783,-0.21,10741.119,10728.988,10739.936,191398822.4,185156694.4,202168303.2
2016-09-08,10830.047,10863.96,10851.194,10795.868,183177104,12.479,0.12,10777.456,10746.193,10762.948,192125596.8,183408096,202318234.4
2016-09-09,10855.29,10877.088,10762.793,10762.793,195540112,-88.401,-0.81,10801.93,10753.097,10774.682,198309964.8,184206881.6,203597402.4
2016-09-12,10578.782,10619.887,10461.576,10460.514,219043248,-301.217,-2.8,10755.155,10726.815,10756.656,209468115.2,189326188.8,200284220.8
2016-09-13,10519.021,10545.204,10514.583,10460.131,163278432,53.007,0.51,10685.772,10705.362,10738.238,198759014.4,189116779.2,195386145.6
2016-09-14,10466.827,10519.957,10454.244,10425.687,152682912,-60.339,-0.57,10608.878,10674.999,10716.415,182744361.6,187071592,191039058.4
2016-09-19,10476.631,10570.579,10557.248,10476.631,142375088,103.004,0.98,10550.089,10663.773,10700.318,174583958.4,183354777.6,185444890.4
2016-09-20,10563.044,10563.73,10544.525,10520.08,146374592,-12.723,-0.12,10506.435,10654.183,10683.909,164750854.4,181530409.6,182005364.8
2016-09-21,10543.385,10600.685,10583.402,10538.939,144124352,38.877,0.37,10530.8,10642.978,10676.509,149767075.2,179617595.2,178510929.6
2016-09-22,10644.711,10697.393,10662.214,10634.461,171457120,78.812,0.74,10560.327,10623.049,10672.105,151402812.8,175080913.6,177631245.6
2016-09-23,10670.589,10679.815,10609.695,10607.863,165681600,-52.519,-0.49,10591.417,10600.147,10664.568,154002550.4,168373456,176765075.2
2016-09-26,10588.353,10588.51,10392.695,10392.695,179917728,-217,-2.04,10558.506,10554.298,10650.245,161511078.4,168047518.4,175727807.2
2016-09-27,10375.35,10476.969,10476.969,10352.021,148382848,84.274,0.81,10544.995,10525.715,10639.406,161912729.6,163331792,173769336.8
2016-09-28,10490.045,10492.927,10467.16,10436.116,128838328,-9.809,-0.09,10521.747,10526.274,10626.544,158855524.8,154311300,171818744.4
2016-09-29,10477.043,10553.015,10512.248,10477.043,137601792,45.088,0.43,10491.753,10526.04,10615.701,152084459.2,151743636,170430207.6
2016-09-30,10504.293,10590.372,10567.577,10499.47,128139200,55.329,0.53,10483.33,10537.373,10606.186,144575979.2,149289264.8,168180428.4
2016-10-10,10612.208,10741.689,10741.689,10584.696,185281392,174.112,1.65,10553.129,10555.817,10609.795,145648712,153579895.2,168467336.4
2016-10-11,10743.407,10782.308,10782.308,10727.451,194247872,40.619,0.38,10614.196,10579.596,10616.889,154821716.8,158367223.2,169948816.4
2016-10-12,10751.432,10792.115,10788.592,10733.308,182306704,6.284,0.06,10678.483,10600.115,10621.546,165515392,162185458.4,170901526.8
2016-10-13,10784.74,10818.041,10787.488,10757.491,188185776,-1.104,-0.01,10733.531,10612.642,10617.846,175632188.8,163858324,169469618.8
2016-10-14,10774.37,10774.37,10759.681,10692.065,178955424,-27.807,-0.26,10771.952,10627.641,10613.894,185795433.6,165185706.4,166779581.2
