date,open,high,low,close,volume,cma,y
 2015/10/15,3255.03,3338.3,3254.39,3338.07,316283840,3340.6828571429,1
 2015/10/16,3358.3,3393.02,3334.85,3391.35,395460576,3345.4,1
 2015/10/19,3401.63,3423.4,3355.57,3386.7,378112192,3356.1871428571,1
 2015/10/20,3377.55,3425.52,3357.86,3425.33,318973760,3377.6142857143,1
 2015/10/21,3428.56,3447.26,3265.44,3320.68,458455424,3390.6871428571,1
 2015/10/22,3292.29,3373.78,3282.99,3368.74,323739328,3396.8285714286,1
 2015/10/23,3377.55,3422.02,3360.22,3412.43,347372864,3395.1857142857,1
 2015/10/26,3448.65,3457.52,3402,3429.58,365560864,3389.7557142857,-1
 2015/10/27,3409.14,3441.57,3332.62,3434.34,328172768,3398.5957142857,-1
 2015/10/28,3417.01,3439.76,3367.23,3375.2,293523296,3392.3585714286,1
 2015/10/29,3387.77,3411.71,3362.51,3387.32,235676032,3378.6828571429,1
 2015/10/30,3380.28,3417.2,3346.59,3382.56,243595120,3382.9771428571,1
 2015/11/02,3337.58,3391.06,3322.31,3325.08,230951136,3395.6171428571,1
 2015/11/03,3330.32,3346.27,3302.18,3316.7,192897424,3426.3071428571,1
 2015/11/04,3325.62,3459.65,3325.62,3459.64,339078720,3463.3871428571,1
 2015/11/05,3459.22,3585.66,3455.53,3522.82,553254976,3500.2342857143,1
 2015/11/06,3514.44,3596.38,3508.83,3590.03,429167040,3546.6871428571,1
 2015/11/09,3588.5,3673.76,3588.5,3646.88,503016672,3591.8585714286,1
 2015/11/10,3617.4,3669.53,3607.89,3640.49,429746560,3609.1728571429,-1
 2015/11/11,3635,3654.88,3605.62,3650.25,360972640,3621.1928571429,-1
 2015/11/12,3656.82,3659.31,3603.23,3632.9,361717600,3623.3028571429,-1
 2015/11/13,3600.76,3632.56,3564.81,3580.84,345870944,3612.1014285714,-1
 2015/11/16,3522.46,3607.61,3519.42,3606.96,276187072,3608.7542857143,1
 2015/11/17,3629.98,3678.27,3598.07,3604.8,383575456,3605.9328571429,1
 2015/11/18,3605.06,3617.07,3558.7,3568.47,297580736,3602.7057142857,1
 2015/11/19,3573.78,3618.21,3561.04,3617.06,247915584,3607.7442857143,-1
 2015/11/20,3620.79,3640.53,3607.92,3630.5,310801984,3613.5971428571,-1
 2015/11/23,3630.87,3654.75,3598.87,3610.31,315997472,3617.99,-1
 2015/11/24,3602.89,3616.48,3563.1,3616.11,248810528,3599.1085714286,-1
 2015/11/25,3614.07,3648.37,3607.52,3647.93,273024864,3574.5857142857,-1
 2015/11/26,3659.57,3668.38,3629.86,3635.55,306761568,3549.7014285714,-1
 2015/11/27,3616.54,3621.9,3412.43,3436.3,354287520,3539.2157142857,-1
 2015/11/30,3433.86,3470.37,3327.81,3445.4,304197888,3534.7457142857,-1
 2015/12/01,3442.44,3483.41,3417.54,3456.31,252390752,3517.1828571429,1
 2015/12/02,3450.28,3538.85,3427.66,3536.91,301491488,3503.0942857143,1
